id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,mae,r2,rmse,acc,auc,balacc,logloss
openml.org/t/189356,albert,autosklearn2,4h8c,1,binary,0.759876,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:28:40,14609.8,14414.7,31.6,10.0,2061097848,,,,,0.689046,0.759876,0.689046,0.582321
openml.org/t/189356,albert,autosklearn2,4h8c,2,binary,0.763388,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:28:31,14600.2,14405.2,27.7,12.0,2061097849,,,,,0.692644,0.763388,0.692644,0.579783
openml.org/t/189356,albert,autosklearn2,4h8c,3,binary,0.758493,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:28:34,14599.7,14401.6,31.9,9.0,2061097850,,,,,0.689658,0.758493,0.689658,0.58318
openml.org/t/189356,albert,autosklearn2,4h8c,4,binary,0.759628,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:29:15,14644.6,14416.9,48.3,15.0,2061097851,,,,,0.691515,0.759628,0.691515,0.582445
openml.org/t/189356,albert,autosklearn2,4h8c,5,binary,0.760963,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:27:49,14558.8,14401.4,10.5,5.0,2061097852,,,,,0.691515,0.760963,0.691515,0.58165
openml.org/t/189356,albert,autosklearn2,4h8c,6,binary,0.75643,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:29:14,14624.4,14405.2,41.3,13.0,2061097853,,,,,0.688317,0.75643,0.688317,0.585228
openml.org/t/189356,albert,autosklearn2,4h8c,7,binary,0.76132,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:29:37,14664.1,14455.1,37.0,15.0,2061097854,,,,,0.692973,0.76132,0.692973,0.581173
openml.org/t/189356,albert,autosklearn2,4h8c,8,binary,0.758681,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:28:01,14570.2,14406.3,11.5,5.0,2061097855,,,,,0.69121,0.758681,0.69121,0.582848
openml.org/t/189356,albert,autosklearn2,4h8c,9,binary,0.753714,auc,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:28:25,14594.4,14414.4,21.8,8.0,2061097856,,,,,0.685425,0.753714,0.685425,0.587653
openml.org/t/233212,Allstate_Claims_Severity,autosklearn2,4h8c,0,regression,-1880.02,neg_rmse,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:20:54,14497.1,14396.4,25.2,10.0,2061097847,,1172.71,0.578914,1880.02,,,,
openml.org/t/233212,Allstate_Claims_Severity,autosklearn2,4h8c,1,regression,-1962.87,neg_rmse,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:21:10,14517.7,14412.7,31.4,13.0,2061097848,,1175.8,0.557405,1962.87,,,,
openml.org/t/233212,Allstate_Claims_Severity,autosklearn2,4h8c,2,regression,-1831.85,neg_rmse,aws,0.13.0,{'_askl2': True},"dev [https://github.com/Innixma/automlbenchmark, ag-2021_08_22_bool, 29fcd36]",2021-08-24T06:20:58,14501.2,14415.8,11.9,6.0,2061097849,,1168.0,0.58307,1831.85,,,,
